channel_id,trending_video_count,subscriber_count,video_count,trending_ratio
UC_5niPa-d35gg88HaS7RrIw,1,6430000.0,1338.0,0.0007473841554559044
UC_976xMxPgzIa290Hqtk-9g,2,6210000.0,490.0,0.004081632653061225
UC_A--fhX5gea0i4UtpD99Gg,1,2050000.0,6538.0,0.00015295197308045274
UC_A7K2dXFsTMAciGmnNxy-Q,5,58600000.0,10267.0,0.00048699717541638256
UC_F8DoJf9MZogEOU51TpTbQ,5,11000000.0,796.0,0.00628140703517588
UC_KQKeg7kNrlvrIXPnpwgEA,2,760000.0,810.0,0.0024691358024691358
UC_aUqqh2c9Z7ZTJ2CYmoE3g,6,3060000.0,1948.0,0.003080082135523614
UC_c7EFVXxmQMjj5E2CchGXg,1,3800000.0,185.0,0.005405405405405406
UC_fN8QapvzsTxrddAN3w9tw,1,1270000.0,157.0,0.006369426751592357
UC_gUM8rL-Lrg6O3adPW9K1g,1,10200000.0,235626.0,4.244013818508993e-06
UC_hoQDD6zKcIqpIYLsFbBeA,3,11600000.0,2018.0,0.0014866204162537165
UC_mneEC0wc29EGGmIsN_xLA,1,642000.0,644.0,0.0015527950310559005
UC_pwIXKXNm5KGhdEVzmY60A,3,11100000.0,13514.0,0.00022199200828770165
UC_uPAFZghRvM1W89Rt-opZw,1,554000.0,105.0,0.009523809523809525
UC_vcKmg67vjMP7ciLnSxSHQ,18,24500000.0,148.0,0.12162162162162163
UC_wIGmvdyAQLtl-U2nHV9rg,42,17300000.0,171974.0,0.000244222963936409
UC_zgOsTPdML6tol9hLYh4fQ,1,4330000.0,3635.0,0.0002751031636863824
UCa0E6gnhb3X0PhBHzX99CGg,3,2280000.0,1157.0,0.0025929127052722557
UCa10nxShhzNrCE1o2ZOPztg,1,30300000.0,3008.0,0.0003324468085106383
UCa6vGFO9ty8v5KZJXQxdhaw,55,21600000.0,7577.0,0.007258809555232942
UCaHNFIob5Ixv74f5on3lvIw,5,11500000.0,255.0,0.0196078431372549
UCaLfMkkHhSA_LaCta0BzyhQ,1,5340000.0,1878.0,0.0005324813631522897
UCaO16EyoX6_064H0txQ0vZQ,4,2030000.0,2985.0,0.001340033500837521
UCaQHxlbPAmh7VWRudyRkwjw,1,1540000.0,153.0,0.006535947712418301
UCaWd5_7JhbQBe4dknZhsHJg,1,25900000.0,31070.0,3.21853878339234e-05
UCaXkIU1QidjPwiAYu6GcHjg,1,9200000.0,103688.0,9.644317568088882e-06
UCabfiEzAwNHfShgmt2Y--Yw,1,562000.0,435.0,0.0022988505747126436
UCafVZzwtU8XUWbXGs4LYtdg,1,2290000.0,150.0,0.006666666666666667
UCajXeitgFL-rb5-gXI-aG8Q,5,6300000.0,3359.0,0.0014885382554331646
UCajqShAK-9PUjDahvJBjOYw,2,1470000.0,14219.0,0.00014065686757155918
UCamDqFg4KluuA2AS_R7X_Tw,1,178000.0,336.0,0.002976190476190476
UCatfiM69M9ZnNhOzy0jZ41A,26,9840000.0,1513.0,0.017184401850627893
UCaum3Yzdl3TbBt8YUeUGZLQ,2,12400000.0,111.0,0.018018018018018018
UCavTVjugW1OejDAq0aDzdMw,5,1280000.0,537.0,0.00931098696461825
UCax9CJCQ6aY0bntP3mcIWKQ,13,3370000.0,144.0,0.09027777777777778
UCaxOQZrF5llUMp-JjesUz1A,2,7290000.0,506.0,0.003952569169960474
UCb-xXZ7ltTvrh9C6DgB9H-Q,8,4950000.0,4938.0,0.0016200891049007696
UCbAwSkqJ1W_Eg7wr3cp5BUA,3,10200000.0,230.0,0.013043478260869565
UCbD8EppRX3ZwJSou-TVo90A,22,21900000.0,42462.0,0.0005181103103951769
UCbOCbp5gXL8jigIBZLqMPrw,2,3020000.0,64.0,0.03125
UCbSGbqIVds2FiYn-0v0AqSA,9,15800000.0,6885.0,0.00130718954248366
UCbTLwN10NoCU4WDzLf1JMOA,24,69600000.0,4700.0,0.005106382978723404
UCbaGn5VkOVlcRgIWAHcrJKA,2,12300000.0,2359.0,0.000847816871555744
UCbcxFkd6B9xUU54InHv4Tig,5,1910000.0,12675.0,0.0003944773175542406
UCbdwpGAxrQZUJkNhRv0THmw,1,80000.0,76.0,0.013157894736842105
UCblfuW_4rakIf2h6aqANefA,1,25200000.0,6723.0,0.00014874312063067083
UCbmu9wfzxKls40WkCzvqtRA,23,15700000.0,195.0,0.11794871794871795
UCbomPUMyPHCgrqD5iYnzj1A,7,38200000.0,7932.0,0.0008825012607160867
UCbu2SsF-Or3Rsn3NxqODImw,1,5640000.0,41009.0,2.4384891121461143e-05
UCc3b8uaQNySMagDbHsm52Tg,25,2430000.0,319.0,0.07836990595611286
UCc3z1e5lYfB-oYiDwL9mc1g,8,1210000.0,1900.0,0.004210526315789474
UCc6BTuuTzfMLKj_RgwuDnQw,1,1290000.0,39.0,0.02564102564102564
UCc8cHxAZ3jwWkrrDyaLwDUw,1,1990000.0,1446.0,0.0006915629322268327
